case_id,seed,timestamp,S,mu,delta,lf_success,lf_peak_force,lf_safety_violated,lf_max_rotation_deg,lf_wall_time,lf_connector_failed_t,hf_success,hf_peak_force,hf_safety_violated,hf_max_rotation_deg,hf_wall_time,hf_connector_failed_t,hf_failure_sequence,hf_n_failed,force_discrepancy,adequate_label,success_agree,safety_agree,speedup_ratio,phase
0,42,2026-09-21T15:18:14,30.0,0.15,0.0,1,30.82900357531184,0,0.00031400077596992947,0.017593164986465126,0.99,0,30.10247985608158,1,0.22430432004952316,0.02319835702655837,0.196,"[[0, 0.196], [1, 0.196], [3, 0.196], [6, 0.196], [4, 0.202], [5, 0.202], [7, 0.202], [2, 0.21]]",8,0.02413501222170845,0,0,0,1.318600549952522,pilot
1,42,2026-09-21T15:18:14,30.0,0.15,0.004,1,1.2188412242005873,0,0.00035608119343133715,0.005821009981445968,0.0,1,1.4594445084625607,0,0.00715431840561398,0.008848491008393466,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.16485949473710027,0,1,1,1.520095487999053,pilot
2,42,2026-09-21T15:18:14,30.0,0.15,0.008,1,1.3299698207690924,0,0.0003388180523931298,0.005649359954986721,0.0,1,1.598575208892173,0,0.011612179927404423,0.008914253965485841,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.16802799557314949,0,1,1,1.5779228154186173,pilot
3,42,2026-09-21T15:18:14,30.0,0.45,0.0,1,30.82900269832555,0,0.004575787359572969,0.01512270700186491,0.99,0,29.700964589032708,1,0.01146741567523072,0.024881325021851808,0.196,"[[1, 0.196], [3, 0.196], [6, 0.196], [2, 0.202], [4, 0.202], [7, 0.20800000000000002], [0, 0.23], [5, 0.23]]",8,0.03797984762115698,0,0,0,1.6452957145029312,pilot
4,42,2026-09-21T15:18:14,30.0,0.45,0.004,1,1.1855054980245874,0,0.0005931330954373235,0.0056847319938242435,0.0,1,1.1842694098078546,0,0.10155629341171014,0.008986743981949985,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.0010437559279128687,1,1,1,1.5808562288799135,pilot
5,42,2026-09-21T15:18:14,30.0,0.45,0.008,1,1.2253521003665193,0,0.0008612391560253351,0.0056135049671866,0.0,1,1.1850444627012473,0,0.06352649396178121,0.00874023896176368,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.034013607872056414,1,1,1,1.5570020892212997,pilot
6,42,2026-09-21T15:18:14,30.0,0.75,0.0,1,30.82900269548484,0,0.001952767406976928,0.015329112997278571,0.99,0,27.956326035049585,1,0.5116309118929087,0.02967768395319581,0.276,"[[6, 0.276], [0, 0.28], [3, 0.28], [5, 0.28], [1, 0.28400000000000003], [4, 0.28400000000000003], [7, 0.28400000000000003], [2, 0.292]]",8,0.10275587202816645,0,0,0,1.9360340000406149,pilot
7,42,2026-09-21T15:18:14,30.0,0.75,0.004,1,1.2259201830679993,0,0.004245280128593056,0.005610694992356002,0.0,1,1.2118180965324632,0,0.01335899644743827,0.009648435981944203,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.011637131493487603,1,1,1,1.7196507732267055,pilot
8,42,2026-09-21T15:18:14,30.0,0.75,0.008,1,1.20883608776564,0,0.0029555171321125617,0.0056591269676573575,0.0,1,1.1980115064164845,0,0.15700866280037357,0.008966286026407033,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.009035456914378352,1,1,1,1.5843938610408492,pilot
9,42,2026-09-21T15:18:14,70.0,0.15,0.0,1,70.8290035747366,0,0.0005417313975187253,0.03147210803581402,2.15,0,67.47597354718096,1,0.011267289339893072,0.03225339500932023,0.292,"[[1, 0.292], [6, 0.292], [3, 0.298], [0, 0.304], [2, 0.304], [5, 0.304], [4, 0.314], [7, 0.314]]",8,0.04969220674098346,0,0,0,1.0248247423597154,pilot
